company,rank,rank_change,revenue,profit,num. of employees,sector,city,state,newcomer,ceo_founder,ceo_woman,profitable
Delta Air Lines,113,65,29899,280,,Transportation,Atlanta,GA,no,no,no,yes
American Airlines Group,114,60,29882,-1993,,Transportation,Fort Worth,TX,no,no,no,no
Netflix,115,,29697.8,5116.2,,Media,Los Gatos,CA,no,yes,no,yes
Paramount Global,116,-7,29579,4543,,Media,New York,NY,no,no,no,yes
US Foods Holding,117,11,29487,164,,Wholesalers,Rosemont,IL,no,no,no,yes
Danaher,118,12,29453,6433,,Health Care,Washington,DC,no,no,no,yes
Jabil,119,-15,29285,696,,Technology,St. Petersburg,FL,no,no,no,yes
Starbucks,120,5,29060.6,4199.3,,"Hotels, Restaurants & Leisure",Seattle,WA,no,yes,no,yes
Mondelez International,121,-13,28720,4300,,"Food, Beverages & Tobacco",Chicago,IL,no,no,no,yes
TD Synnex,109,8,31614.2,395.1,,Wholesalers,Fremont,CA,no,no,no,yes
Philip Morris International,110,-9,31405,9109,,"Food, Beverages & Tobacco",New York,NY,no,no,no,yes
World Fuel Services,111,36,31337,73.7,,Energy,Miami,FL,no,no,no,yes
Performance Food Group,112,2,30398.9,40.7,,Wholesalers,Richmond,VA,no,no,no,yes
Qualcomm,107,17,33566,9043,,Technology,San Diego,CA,no,no,no,yes
Capital One Financial,108,-9,32033,12390,,Financials,McLean,VA,no,yes,no,yes
CarMax,174,-38,20092.1,746.9,,Retailing,Richmond,VA,no,no,no,yes
3M,102,-6,35355,5921,,Chemicals,St. Paul,MN,no,no,no,yes
Travelers,103,-5,34816,3662,,Financials,New York,NY,no,no,no,yes
Arrow Electronics,104,-2,34477,1108.2,,Wholesalers,Centennial,CO,no,no,no,yes
Honeywell International,105,-11,34392,5542,,Industrials,Charlotte,NC,no,no,no,yes
Dollar General,106,-15,34220.4,2399.2,,Retailing,Goodlettsville,TN,no,no,no,yes
USAA,96,-9,37469.6,3300,,Financials,San Antonio,TX,no,no,no,yes
Northwestern Mutual,97,-7,36751.2,977.8,,Financials,Milwaukee,WI,no,no,no,yes
Nucor,98,51,36483.9,6827.5,,Materials,Charlotte,NC,no,no,no,yes
Exelon,99,-7,36347,1706,,Energy,Chicago,IL,no,no,no,yes
Massachusetts Mutual Life Insurance,100,23,35899.5,319.3,,Financials,Springfield,MA,no,no,no,yes
Northrop Grumman,101,-15,35667,7005,,Aerospace & Defense,Falls Church,VA,no,no,yes,yes
Thermo Fisher Scientific,92,3,39211,7725,,Technology,Waltham,MA,no,no,no,yes
Coca-Cola,93,,38655,9771,,"Food, Beverages & Tobacco",Atlanta,GA,no,no,no,yes
General Dynamics,94,-10,38469,3257,,Aerospace & Defense,Reston,VA,no,no,yes,yes
CHS,95,8,38448,554,,"Food, Beverages & Tobacco",Inver Grove Heights,MN,no,no,no,yes
Abbott Laboratories,86,3,43075,7071,,Health Care,Abbott Park,IL,no,no,no,yes
StoneX Group,87,-29,42534.2,116.3,,Financials,New York,NY,no,no,no,yes
Plains GP Holdings,88,39,42078,60,,Energy,Houston,TX,no,no,no,yes
Enterprise Products Partners,89,16,40806.9,4637.7,,Energy,Houston,TX,no,no,no,yes
TIAA,90,-11,40526.4,4060.7,,Financials,New York,NY,no,no,yes,yes
Oracle,91,-11,40479,13746,,Technology,Austin,TX,no,no,yes,yes
Bristol-Myers Squibb,82,-7,46385,6994,,Health Care,New York,NY,no,no,no,yes
Nike,83,2,44538,5727,,Apparel,Beaverton,OR,no,no,no,yes
Deere,84,4,44024,5963,,Industrials,Moline,IL,no,no,no,yes
American Express,85,-2,43663,8060,,Financials,New York,NY,no,no,no,yes
TJX,75,22,48550,3282.8,,Retailing,Framingham,MA,no,no,no,yes
Publix Super Markets,76,-7,48393.9,4412.2,,Food & Drug Stores,Lakeland,FL,no,no,no,yes
ConocoPhillips,77,79,48349,8079,,Energy,Houston,TX,no,no,no,yes
Liberty Mutual Insurance Group,78,-7,48200,3068,,Financials,Boston,MA,no,no,no,yes
Progressive,79,-5,47702,3350.9,,Financials,Mayfield Village,OH,no,no,yes,yes
Nationwide,80,-4,47376,1617.2,,Financials,Columbus,OH,no,no,no,yes
Tyson Foods,81,-8,47049,3047,,"Food, Beverages & Tobacco",Springdale,AR,no,no,no,yes
American International Group,67,5,52057,9388,,Financials,New York,NY,no,no,no,yes
Best Buy,68,-2,51761,2454,,Retailing,Richfield,MN,no,no,yes,yes
Charter Communications,69,-5,51682,4654,,Telecommunications,Stamford,CT,no,no,no,yes
Sysco,70,-10,51297.8,524.2,,Wholesalers,Houston,TX,no,no,no,yes
Merck,71,-6,51216,13049,,Health Care,Kenilworth,NJ,no,no,no,yes
New York Life Insurance,72,-5,51198.5,277.1,,Financials,New York,NY,no,no,no,yes
Caterpillar,73,5,50971,6489,,Industrials,Deerfield,IL,no,no,no,yes
